Server Info
Server CPU Core,40
Server CPU Freq,0.0 GHz
Server RAM Total,23 GB
time,2.912,5.841,8.783,11.761,14.696,17.622,20.582,23.521,26.592,29.445,32.267,35.062,37.957,40.806,43.586,46.390,49.192,52.102,54.992,57.871,60.711,63.590,66.463,69.341,72.164,75.028,77.840,80.819,83.738,86.561,89.423,92.551,95.403,98.262,101.082,103.939,106.843,109.677,112.942,115.802,118.675,121.568,125.023,128.348,131.346,134.152,136.988,139.880,142.760,145.684,148.572,151.452
Player Connected,0,2,3,6,8,13,17,25,30,34,34,34,35,36,36,38,40,40,40,40,41,41,42,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,45,40,35,35,33,30,30,29,28,27
TX (Kbps),0.0,2.7617,2.7617,8.2852,5.1445,36.9902,63.1484,20.5723,88.0098,70.4004,7.8564,13.4199,10.25,9.8428,10.6357,7.3379,6.1855,7.2891,7.7021,7.1611,7.1104,6.4023,2.7842,4.4697,5.2012,8.0107,4.04,6.9102,5.1162,4.4512,5.1729,6.209,3.8867,4.8789,5.8779,5.0088,8.6104,6.6807,7.874,5.1787,6.4346,4.3184,157.8516,62.9961,92.3145,36.7363,11.2803,7.8701,6.0898,0.1738,0.334,5.1602
RX (Kbps),0.0449,3.9814,2.6543,6.5352,1040.7725,1195.0098,2494.9053,18.8994,8764.8213,2743.1357,20.123,33.1982,33.2705,18.9727,52.0312,45.7197,63.0879,102.9482,97.3018,91.375,147.9531,224.4531,118.0635,86.0625,161.8594,86.4385,48.9629,90.0879,121.6387,56.2363,100.4277,91.9707,76.0508,105.6699,73.748,56.5664,100.748,117.6113,141.7754,88.4385,192.2617,118.292,9236.7803,4537.1904,8544.1895,1644.7031,475.4814,1.3154,0.0,0.0957,0.3535,0.0957
TX + RX (Kbps),0.0449,6.7431,5.416,14.8204,1045.9170000000001,1232.0,2558.0537,39.4717,8852.8311,2813.5361,27.979400000000002,46.6181,43.5205,28.8155,62.6669,53.0576,69.2734,110.2373,105.0039,98.5361,155.0635,230.8554,120.8477,90.5322,167.0606,94.4492,53.0029,96.99810000000001,126.7549,60.6875,105.6006,98.1797,79.9375,110.5488,79.6259,61.5752,109.3584,124.292,149.64939999999999,93.61720000000001,198.69629999999998,122.6104,9394.6319,4600.186500000001,8636.504,1681.4394,486.7617,9.1855,6.0898,0.2695,0.6875,5.2559
CPU Usage Percent,3.1,3.9,3.6,4.2,4.6,9.7,10.8,12.9,22.0,27.7,9.7,9.4,9.1,9.5,11.3,8.6,8.3,9.2,8.7,8.2,7.6,7.1,9.0,7.4,7.0,9.1,8.8,8.7,6.8,8.7,7.6,7.0,7.8,6.4,7.7,8.8,9.0,9.2,8.0,7.5,9.1,8.7,39.4,45.3,32.3,20.4,4.4,4.7,3.8,3.7,3.6,4.2
RAM Usage Percent,6.1,6.1,6.2,6.3,6.6,7.0,6.9,7.3,9.6,8.3,8.1,8.2,8.2,8.3,8.3,8.4,8.6,8.6,8.6,8.5,8.6,8.6,8.7,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.9,8.9,8.9,8.9,8.9,8.9,8.9,10.9,9.6,10.6,9.2,9.2,9.2,9.2,9.2,9.2,9.2

