Server Info
Server CPU Core,40
Server CPU Freq,0.0 GHz
Server RAM Total,23 GB
time,0.918,1.832,2.745,3.659,4.572,5.493,6.408,7.326,8.263,9.179,10.095,11.010,11.926,12.842,13.756,14.680,15.602,16.517,17.432,18.346,19.261,20.177,21.112,22.029,22.944,23.878,24.793,25.708,26.622,27.562,28.494,29.551,30.505,31.486,32.421,33.336,34.314,35.396,36.311,37.226,38.141,39.055,40.045,41.053,41.967,42.879,43.793,44.706,45.620,46.534,47.448,48.363,49.277,50.191,51.106,52.020,52.935,53.849,54.773,55.686,56.599,57.514,58.429,59.343,60.258,61.172,62.085,62.999,63.912,64.827,65.744,66.659,67.573,68.487,69.403,70.315,71.229,72.143,73.058,73.971,74.885,75.798,76.711,77.630,78.545,79.461,80.374,81.287,82.200,83.116,84.031,84.947,85.860,86.774,87.687,88.601,89.514,90.429,91.343,92.258,93.173,94.088,95.003,95.917,96.831,97.745,98.658,99.571,100.484,101.398,102.311,103.225,104.138,105.051,105.964,106.881,107.794,108.707,109.619,110.534,111.448,112.362,113.275,114.188,115.102,116.015,116.929,117.842,118.755,119.669,120.585,121.501,122.414,123.327,124.242,125.157,126.071,126.983,127.897,128.810,129.723,130.637,131.550,132.463,133.377,134.290,135.205,136.118,137.032,137.948,138.862,139.775,140.689,141.604,142.517,143.430,144.344,145.258,146.172,147.085,147.998,148.911,149.825
Player Connected,0,0,0,0,0,1,2,3,5,8,13,14,14,14,14,15,16,16,16,17,17,19,21,22,22,23,24,25,26,27,28,29,31,33,35,38,40,41,43,45,47,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49,44,44,41,37,35,24,22,22,22,22,22,21,21,21,20,20
TX (Kbps),0.0,0.0,0.0,0.0,0.5938,2.0527,2.7832,3.8496,4.1055,9.041,13.0625,6.9238,1.4551,1.8477,7.8691,9.6152,15.916,8.0566,12.6113,25.9414,38.8184,62.2266,8.9219,4.8789,4.4141,19.1602,23.4668,13.6309,13.666,25.6094,43.5254,50.0117,110.918,46.875,12.9531,11.4707,33.0957,52.9902,43.998,37.6543,54.4551,3.502,6.4629,7.873,9.9531,8.6992,7.6543,3.2598,7.0664,7.3926,2.5254,4.2109,2.793,7.1582,4.5176,2.127,3.1523,3.2891,2.7852,1.4004,2.1289,2.7344,3.4473,3.2617,2.3047,2.6367,3.1484,2.4805,4.2969,3.3477,4.8887,2.4219,1.9941,2.4668,2.8867,2.7324,2.8262,5.1543,5.9121,2.8262,3.1621,2.0137,3.252,2.3867,1.7598,4.4414,1.873,1.8086,3.9121,4.2031,3.9297,3.6777,2.3594,2.6973,2.707,1.7754,4.1738,2.7422,1.2344,1.5156,2.0332,5.2598,1.7754,2.7344,4.4766,1.4785,4.5234,2.3301,2.1484,1.9434,3.6426,3.0684,2.2422,6.0742,1.7871,4.6836,2.4121,2.1797,3.4141,2.0078,4.7793,2.3848,1.8262,3.9258,3.1387,4.1211,2.3438,4.0137,3.5391,3.1387,3.3242,2.2246,2.7383,3.8281,2.0391,3.2441,4.5332,3.918,3.5703,3.7734,3.127,4.7539,1.7441,2.7617,4.0449,1.6934,2.5684,6.5645,3.6348,3.916,5.3086,4.2773,35.6113,4.9766,5.5977,0.9844,17.6953,0.4336,1.7051,0.457,0.7207,3.5283,6.7734
RX (Kbps),0.0449,0.0,0.0,0.0,0.5938,1.5469,2.6191,3.9111,3.0039,9.9961,12.7188,4.9443,1.3623,1.5088,7.5527,10.709,1062.7471,1055.1445,1184.8398,2074.7637,3170.2256,6499.0586,7.3672,3.332,4.793,1183.5029,1166.7393,1015.0254,1033.1211,2166.0068,2188.4385,4195.8916,8660.6191,1864.9873,61.209,11.3047,2172.251,3753.5342,2463.5615,2802.4785,3268.5801,46.875,24.3281,72.9492,0.0,50.0703,33.2617,31.2949,28.8623,28.6641,26.9102,31.2188,47.6328,37.4785,47.7266,50.5771,18.6426,98.8242,121.1836,33.0156,25.9375,53.1562,37.2148,36.9619,44.5215,39.3203,54.4463,98.877,83.4297,60.6299,91.4355,47.6758,34.5664,71.8838,68.2852,54.0508,33.4062,127.292,75.2764,39.8164,153.5586,56.9336,37.3477,81.0352,38.8125,89.8633,59.0156,76.9697,55.6504,58.6104,86.2695,83.7344,59.6641,62.1719,111.1562,71.3906,68.4912,102.0518,53.1211,90.1328,61.1641,101.0244,64.5938,78.1348,135.3789,110.3047,78.1406,80.3086,122.5938,84.8828,55.4629,143.0898,74.1523,184.0547,68.5273,65.9062,41.5742,52.9541,59.374,44.2656,76.8027,56.1719,38.4102,112.6094,56.8633,171.2051,34.1748,48.6211,41.2305,86.4521,71.9092,44.0469,73.209,99.8066,27.2012,80.2656,104.1055,88.1338,53.2227,89.5566,81.2793,138.1758,74.1074,76.627,88.4082,68.5312,48.2344,59.0059,62.2969,67.4883,200.4844,137.7852,1944.2178,100.8301,153.3379,0.0449,1422.4932,0.5625,0.9453,0.5176,0.0508,3.0684,2.5234
TX + RX (Kbps),0.0449,0.0,0.0,0.0,1.1876,3.5996,5.4023,7.7607,7.1094,19.037100000000002,25.7813,11.8681,2.8174,3.3564999999999996,15.421800000000001,20.324199999999998,1078.6631,1063.2011,1197.4511,2100.7051,3209.0440000000003,6561.2852,16.2891,8.210899999999999,9.2071,1202.6631,1190.2060999999999,1028.6563,1046.7871,2191.6162,2231.9639,4245.9033,8771.5371,1911.8623,74.16210000000001,22.7754,2205.3467,3806.5244000000002,2507.5595,2840.1328000000003,3323.0352000000003,50.377,30.791,80.82220000000001,9.9531,58.7695,40.916,34.5547,35.9287,36.0567,29.4356,35.429700000000004,50.4258,44.6367,52.2442,52.704100000000004,21.794900000000002,102.11330000000001,123.9688,34.416,28.0664,55.8906,40.662099999999995,40.2236,46.8262,41.957,57.5947,101.3575,87.72659999999999,63.9776,96.3242,50.0977,36.560500000000005,74.3506,71.17190000000001,56.7832,36.2324,132.4463,81.18849999999999,42.6426,156.72070000000002,58.9473,40.599700000000006,83.42190000000001,40.5723,94.3047,60.8886,78.7783,59.5625,62.8135,90.19919999999999,87.4121,62.0235,64.8692,113.86319999999999,73.16600000000001,72.665,104.794,54.3555,91.64840000000001,63.1973,106.2842,66.3692,80.86919999999999,139.85549999999998,111.7832,82.664,82.6387,124.7422,86.8262,59.1055,146.1582,76.3945,190.1289,70.31439999999999,70.5898,43.9863,55.133799999999994,62.7881,46.2734,81.58200000000001,58.5567,40.2364,116.53519999999999,60.002,175.3262,36.5186,52.6348,44.7696,89.5908,75.2334,46.2715,75.9473,103.63470000000001,29.2403,83.50970000000001,108.6387,92.0518,56.793000000000006,93.33,84.4063,142.9297,75.8515,79.3887,92.45309999999999,70.2246,50.8028,65.57039999999999,65.9317,71.40429999999999,205.793,142.0625,1979.8291,105.8067,158.9356,1.0293,1440.1885,0.9961,2.6504000000000003,0.9745999999999999,0.7715,6.5967,9.2968
CPU Usage Percent,0.1,0.1,0.0,0.1,0.0,0.6,0.7,0.9,1.9,3.6,7.0,5.6,0.7,1.2,3.9,5.2,8.7,6.1,6.5,13.7,10.5,24.9,24.4,5.2,2.9,9.1,14.6,15.7,11.4,9.5,18.6,17.8,32.1,33.5,34.1,16.7,24.6,40.5,22.0,25.6,18.7,24.3,32.0,54.3,16.2,2.8,3.1,3.2,5.7,4.2,4.3,8.5,4.8,4.4,6.6,5.9,6.7,3.5,4.0,4.0,2.9,5.4,4.9,5.7,4.3,5.3,7.6,3.6,3.6,5.6,5.7,5.5,3.8,4.4,4.0,5.3,4.9,4.4,5.4,3.1,4.3,3.4,4.4,6.5,3.0,6.3,3.7,5.1,3.7,6.5,4.5,8.0,4.8,5.1,5.2,4.7,6.4,4.9,4.7,5.5,4.6,3.5,5.6,6.7,2.8,5.3,3.4,5.2,3.9,2.8,4.1,2.7,2.7,4.6,4.3,5.6,5.4,4.6,5.3,6.1,4.3,5.1,4.8,3.7,4.0,4.0,7.0,4.7,4.9,6.0,3.5,5.1,3.8,5.4,3.8,4.2,3.7,4.8,6.4,4.3,3.7,3.8,2.6,4.7,5.6,5.4,8.4,5.3,9.3,5.1,3.5,4.6,4.3,3.1,0.3,0.1,2.8,0.3,0.1,0.3,0.2,1.8,1.4
RAM Usage Percent,5.7,5.7,5.7,5.7,5.7,5.7,5.8,5.8,5.8,6.0,6.1,6.1,6.1,6.1,6.1,6.2,6.5,6.5,6.6,7.0,7.1,7.8,7.1,6.6,6.6,6.7,6.8,7.1,7.2,7.3,7.4,8.6,8.6,10.1,8.8,8.2,9.2,9.4,8.8,9.0,8.9,9.8,10.5,12.1,9.4,8.9,8.9,8.9,9.0,8.9,9.0,9.0,8.9,9.0,8.9,9.0,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,9.3,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,9.0,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,9.0,8.9,8.9,8.9,9.0,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,9.0,9.3,8.9,9.1,8.9,8.9,8.9,9.3,8.9,8.9,8.9,9.0,8.9,8.9,8.9,8.9,8.9,8.9

