Server Info
Server CPU Core,40
Server CPU Freq,0.0 GHz
Server RAM Total,23 GB
time,0.919,1.833,2.746,3.659,4.574,5.491,6.405,7.319,8.233,9.148,10.074,10.989,11.915,12.829,13.744,14.660,15.575,16.490,17.405,18.326,19.241,20.155,21.069,21.985,22.899,23.825,24.741,25.656,26.655,27.635,28.698,29.968,30.896,31.918,32.846,33.761,34.767,36.032,37.203,38.465,39.715,40.843,41.822,43.062,44.169,45.280,46.498,47.559,48.538,49.471,50.385,51.299,52.212,53.126,54.097,55.196,56.409,57.524,58.647,60.174,61.400,62.473,63.426,64.550,65.659,66.865,67.954,69.131,70.338,71.467,72.554,73.667,74.831,75.873,76.970,78.153,79.167,80.216,81.359,82.448,83.553,84.741,85.956,87.274,88.471,89.558,90.808,91.871,93.095,94.240,95.299,96.477,97.566,98.790,99.905,101.024,102.144,103.540,104.745,105.829,107.250,108.394,109.423,110.487,111.637,112.863,114.011,115.265,116.436,117.617,118.639,119.563,120.565,121.480,122.394,123.315,124.289,125.238,126.158,127.072,127.990,128.924,129.847,130.761,131.676,132.592,133.508,134.426,135.342,136.257,137.171,138.087,139.003,139.917,140.831,141.745,142.658,143.571,144.485,145.398,146.312,147.226,148.139,149.053,149.966
Player Connected,0,0,0,0,0,1,2,2,3,7,11,13,16,16,17,19,21,23,24,25,26,28,30,30,32,34,36,38,41,42,44,44,45,46,47,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
TX (Kbps),0.0,0.0,0.0,0.0,0.7305,2.0527,2.7832,0.0,2.7832,10.9863,9.1055,8.3613,9.7676,4.7148,6.7617,11.7656,13.6641,21.7949,6.4785,19.9922,40.0859,55.8164,40.127,56.3828,19.4219,42.9492,54.8262,28.0371,31.2559,24.4023,38.9258,73.0781,157.1191,40.625,37.9473,74.4219,45.0449,86.707,75.1465,39.0977,84.375,76.5488,70.4668,55.1055,75.0215,86.3809,39.3984,42.6406,67.9727,33.9824,10.0957,4.9023,2.4004,2.8281,76.4375,121.3359,81.666,91.5293,63.0156,60.0332,75.8555,61.6953,141.4238,54.9355,74.8125,54.2891,43.8262,67.9492,55.5098,77.4336,71.2832,44.5898,61.584,87.3047,54.875,44.0723,58.1367,71.4297,43.3594,80.2617,46.0684,80.4668,59.4629,55.3008,60.7012,53.4473,56.6875,88.5195,77.041,41.0938,50.0059,54.5234,76.9883,36.416,62.7676,70.252,66.5859,78.3359,51.6035,62.3125,78.5898,67.4863,61.002,64.6621,70.7188,87.5547,70.8223,56.4551,62.7129,28.7305,26.5957,77.4551,31.9473,65.0508,28.6543,52.2852,25.4434,44.9629,23.377,12.9258,14.5625,15.541,60.6934,39.5781,21.2422,13.4414,24.8418,31.416,12.4512,14.5625,14.1816,1.1953,0.6309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2861,6.4512
RX (Kbps),0.0449,0.0,0.0449,0.0,1.1621,1.4512,2.6133,0.0,2.6621,10.4453,9.4268,7.125,9.8428,3.7803,7.6611,90.0869,736.6777,1119.8604,5.6074,1072.0449,3281.8145,4619.0156,1890.6523,3460.8984,1162.5391,1179.4668,3442.7881,2103.5361,2621.4248,1151.4922,1870.7529,5003.2119,8440.6396,3635.0361,2978.3984,6007.7617,3321.9404,6487.877,6619.6514,3827.8262,6690.0078,9193.9639,6788.7549,7481.373,5763.3145,9902.7363,5539.8604,3779.7412,2980.5479,2463.5625,106.9961,92.8281,42.8359,46.7812,3312.7598,11272.0156,7067.0156,8966.8896,6246.1143,7258.7246,8545.0166,4952.0361,8643.2158,6035.9346,7483.6309,5860.9619,4166.1494,6521.1895,5964.9775,4179.7549,7114.7305,3759.2197,6081.8633,8859.7715,4647.4805,3590.5576,4520.4033,5178.2305,3086.8213,6371.3984,4520.9619,4101.5527,7369.8809,3155.0166,5222.8965,4108.9131,4785.1494,7521.293,8704.1055,3144.2822,4491.5254,2922.7061,8631.5967,3189.7705,6076.9551,6325.0186,6353.1377,9074.0547,5487.8184,6138.5186,8031.7363,6474.498,4469.6348,3783.043,5910.6064,6174.5479,8297.0664,5908.0508,6531.9863,3157.6514,1451.3975,6360.5117,2507.7539,4319.2393,2527.7275,2836.1963,2311.4355,3340.0947,1945.2812,939.9717,971.6367,1314.6836,4556.8428,2008.9404,1602.1885,1449.668,961.7266,2421.1816,1477.0176,1449.4287,1437.9053,1.3584,0.3887,0.0,0.0449,0.0,0.0449,0.0,0.0449,0.0,0.0449,0.0,0.0449,2.0781,2.2031
TX + RX (Kbps),0.0449,0.0,0.0449,0.0,1.8925999999999998,3.5039000000000002,5.3965,0.0,5.4453,21.4316,18.5323,15.4863,19.6104,8.4951,14.4228,101.85249999999999,750.3417999999999,1141.6553000000001,12.0859,1092.0371,3321.9004,4674.831999999999,1930.7793,3517.2812,1181.961,1222.416,3497.6143,2131.5732,2652.6807,1175.8944999999999,1909.6787,5076.29,8597.7587,3675.6611,3016.3457,6082.1836,3366.9853,6574.584000000001,6694.7979,3866.9239,6774.3828,9270.512700000001,6859.2217,7536.478499999999,5838.336,9989.1172,5579.2588,3822.3818,3048.5206,2497.5449,117.0918,97.7304,45.2363,49.6093,3389.1973,11393.3515,7148.6816,9058.4189,6309.1299,7318.757799999999,8620.8721,5013.731400000001,8784.6396,6090.870099999999,7558.4434,5915.251,4209.975600000001,6589.1387,6020.4873,4257.1885,7186.0136999999995,3803.8095000000003,6143.4473,8947.076200000001,4702.3555,3634.6299,4578.54,5249.660199999999,3130.1807,6451.6601,4567.0303,4182.0195,7429.343800000001,3210.3174,5283.5977,4162.3604,4841.8369,7609.8125,8781.146499999999,3185.376,4541.531300000001,2977.2295,8708.585000000001,3226.1865000000003,6139.7227,6395.270600000001,6419.7236,9152.3906,5539.4219,6200.8311,8110.326099999999,6541.984299999999,4530.6368,3847.7051,5981.325199999999,6262.102599999999,8367.8887,5964.5059,6594.6992,3186.3819000000003,1477.9932000000001,6437.9668,2539.7012,4384.2901,2556.3818,2888.4815,2336.8789,3385.0576,1968.6581999999999,952.8975,986.1992,1330.2246,4617.5362000000005,2048.5185,1623.4307,1463.1093999999998,986.5684,2452.5976,1489.4687999999999,1463.9912,1452.0868999999998,2.5537,1.0196,0.0,0.0449,0.0,0.0449,0.0,0.0449,0.0,0.0449,0.0,0.0449,4.3642,8.6543
CPU Usage Percent,0.1,0.0,0.0,0.1,0.4,0.4,0.7,0.0,0.7,4.1,4.2,5.2,6.8,3.4,4.6,7.0,12.7,10.8,7.5,11.6,13.0,26.6,34.4,25.9,19.0,14.8,16.5,23.6,28.4,39.9,28.4,52.3,48.2,47.1,51.2,25.4,35.1,57.7,63.7,63.2,59.4,60.0,61.8,59.3,62.9,61.0,57.3,59.4,52.8,37.8,11.5,4.0,4.7,4.2,7.8,44.4,51.6,59.0,55.3,59.9,57.4,58.4,57.8,53.9,55.9,57.1,55.4,55.2,53.0,59.2,55.1,56.1,57.4,51.2,55.8,61.0,57.9,58.2,57.4,54.0,55.8,58.6,54.9,54.3,55.3,52.5,56.6,54.6,54.1,56.6,57.3,57.2,54.6,52.7,55.4,49.7,51.2,54.6,51.8,58.9,53.8,53.4,56.0,52.3,53.6,52.7,56.1,54.5,50.7,55.8,54.0,52.6,49.3,38.3,35.7,29.5,25.9,35.2,28.8,19.2,14.9,12.9,27.1,26.6,13.3,11.2,10.0,8.5,18.6,7.3,10.1,3.4,2.8,0.3,0.9,0.1,0.3,0.4,0.4,0.3,0.7,0.3,0.3,2.0,2.8
RAM Usage Percent,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.4,6.5,6.6,6.7,6.8,6.7,6.8,6.9,7.0,7.4,7.1,7.5,7.9,7.7,9.0,8.9,9.0,8.3,8.5,9.0,9.4,10.5,9.6,11.5,10.9,12.2,12.1,10.6,11.3,13.4,14.1,14.0,13.9,14.2,15.6,13.7,15.0,13.0,14.5,14.1,13.4,11.1,10.2,10.0,10.0,10.0,10.4,12.8,13.3,14.7,12.9,14.0,14.0,14.3,13.8,14.4,13.5,14.8,13.7,13.4,13.9,14.0,13.3,14.7,13.6,13.7,14.9,14.6,13.8,13.2,14.6,13.2,14.4,14.7,13.8,14.5,13.6,13.9,14.6,13.5,13.9,15.8,15.1,14.1,13.3,14.4,13.6,13.7,13.2,13.9,14.2,14.8,14.0,14.5,14.7,13.7,13.3,14.9,14.8,14.7,14.1,14.4,13.5,13.3,13.9,12.0,13.0,11.2,12.1,12.5,11.1,11.5,10.9,11.2,12.2,11.9,11.2,11.3,10.7,10.7,11.9,10.8,10.9,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5

IP,10.0.0.35
Attribute,HIGH
initTime,2023-04-14 12:37:00.997007
endTime,2023-04-14 12:39:26.448248
liveTime(sec),145.451241
startupDelay,873
Total stalling Event,0
player width,1280
player height,720
time,8.966,14.033,19.108,25.648,30.229,36.020,39.935,44.829,49.466,57.186,63.182,68.949,73.481,78.307,82.756,85.778,91.019,97.127,100.683,107.242,110.417,115.424,119.462,124.335
elapsed,0.000,5.067,10.142,16.682,21.263,27.054,30.969,35.863,40.500,48.220,54.216,59.983,64.515,69.341,73.790,76.812,82.053,88.161,91.717,98.276,101.451,106.458,110.496,115.369
bitrate,400,2000,2000,1401,800,800,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,30.809,19.101,7.179,30.424,30.382,30.928,31.16,31.198,31.64,32.217,33.001,30.292,30.522,29.693,30.521,30.678,31.977,32.345,32.339,32.793,29.798,30.002,30.397,30.917
GMSD,0,0,0.78639,0,0.94695,0,0.97518,0,0.94307,0,0.89728,0,0.91879,0,0.88556,0,0.84700,0,0.94314,0,0.86108,0,0.86155,0
bitrateSwitch,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),4880,36145,6744,12082,2406,1983,2088,1785,691,708,950,571,1010,1033,1035,986,814,985,889,957,659,1006,984,1052

IP,10.0.0.36
Attribute,HIGH
initTime,2023-04-14 12:37:02.124543
endTime,2023-04-14 12:39:26.448269
liveTime(sec),144.323726
startupDelay,304
Total stalling Event,0
player width,1280
player height,720
time,10.605,15.651,20.866,27.187,32.066,37.501,41.618,46.702,54.860,60.814,65.491,70.489,73.366,80.110,83.143,88.842,92.299,98.709,102.251,108.572,112.035,117.368,120.939,125.918
elapsed,0.000,5.046,10.261,16.582,21.461,26.896,31.013,36.097,44.255,50.209,54.886,59.884,62.761,69.505,72.538,78.237,81.694,88.104,91.646,97.967,101.430,106.763,110.334,115.313
bitrate,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,29.324,17.279,25.26,32.147,20.715,29.728,18.15,26.207,13.45,22.656,23.944,19.908,24.325,20.283,24.471,22.441,18.772,22.704,18.571,23.504,20.654,24.415,20.714,25.255
GMSD,0,0,0.78409,0,0.86505,0,0.86896,0,0.84890,0,0.95198,0,0.90375,0,0.88154,0,0.86003,0,0.92218,0,0.93464,0,0.84710,0
bitrateSwitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),4880,0,1529,1816,0,1324,0,1681,0,1122,822,665,1273,571,1431,773,587,1170,629,1254,592,1415,593,1412

IP,10.0.0.5
Attribute,HIGH
initTime,2023-04-14 12:37:03.876945
endTime,2023-04-14 12:39:26.448300
liveTime(sec),142.571355
startupDelay,639
Total stalling Event,0
player width,1280
player height,720
time,12.015,17.193,22.247,29.317,34.362,38.371,42.885,47.677,57.756,59.433,66.794,71.710,75.817,80.948,85.360,89.911,94.153,99.616,103.694,109.647,113.582,118.301,122.332,127.251
elapsed,0.000,5.178,10.232,17.302,22.347,26.356,30.870,35.662,45.741,47.418,54.779,59.695,63.802,68.933,73.345,77.896,82.138,87.601,91.679,97.632,101.567,106.286,110.317,115.236
bitrate,400,2000,2000,1401,800,800,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,30.092,19.607,7.636,32.263,32.779,32.72,32.144,31.663,32.493,32.765,31.94,32.063,32.153,32.931,33.081,33.208,30.596,30.907,31.304,31.284,31.215,31.815,32.271,32.654
GMSD,0,0,0.99562,0,0.90337,0,0.93376,0,0.95211,0,0.98065,0,0.91871,0,0.91792,0,0.86826,0,0.93334,0,0.93789,0,0.86107,0
bitrateSwitch,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),4880,48338,6744,12082,2406,1983,2088,1785,691,708,950,904,940,1126,1078,808,593,985,889,957,1065,943,1095,913

IP,10.0.0.25
Attribute,HIGH
initTime,2023-04-14 12:37:04.824311
endTime,2023-04-14 12:39:26.448304
liveTime(sec),141.623993
startupDelay,992
Total stalling Event,0
player width,1280
player height,720
time,12.586,17.739,23.137,29.314,34.981,38.952,43.423,48.000,58.960,59.943,67.578,72.409,77.073,80.957,86.442,90.907,94.591,100.320,104.089,110.367,114.322,118.532,122.907,127.832
elapsed,0.000,5.153,10.551,16.728,22.395,26.366,30.837,35.414,46.374,47.357,54.992,59.823,64.487,68.371,73.856,78.321,82.005,87.734,91.503,97.781,101.736,105.946,110.321,115.246
bitrate,2000,2000,1401,800,800,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,5.985,6.168,30.814,31.917,31.81,32.816,30.123,29.91,29.954,30.883,31.674,32.214,31.767,32.863,33.703,30.414,30.485,31.493,31.265,31.481,31.893,31.747,32.141,32.105
GMSD,0,0,0.75587,0,0.84639,0,0.93135,0,0.95470,0,0.86074,0,0.93322,0,0.92217,0,0.85994,0,0.86037,0,0.86621,0,0.85057,0
bitrateSwitch,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),5579,5666,11089,3163,1471,1983,1318,1363,951,415,947,866,1010,1033,1035,636,897,914,910,1027,907,1006,984,1052

IP,10.0.0.23
Attribute,HIGH
initTime,2023-04-14 12:37:04.970072
endTime,2023-04-14 12:39:26.448306
liveTime(sec),141.478234
startupDelay,1170
Total stalling Event,0
player width,1280
player height,720
time,12.623,17.741,23.142,29.289,34.943,39.081,43.523,48.200,62.200,63.170,66.965,72.501,76.239,81.596,86.621,90.903,94.632,100.440,104.215,109.454,114.414,118.539,123.025,127.881
elapsed,0.000,5.118,10.519,16.666,22.320,26.458,30.900,35.577,49.577,50.547,54.342,59.878,63.616,68.973,73.998,78.280,82.009,87.817,91.592,96.831,101.791,105.916,110.402,115.258
bitrate,2000,1401,2000,2000,1401,800,800,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,10.838,22.921,24.741,13.556,5.685,30.268,31.322,31.021,30.919,29.964,30.615,30.674,31.307,31.601,31.406,31.408,31.179,31.689,31.198,31.257,31.577,31.922,32.098,31.945
GMSD,0,0,0.77036,0,0.89391,0,0.82219,0,0.98547,0,0.87488,0,0.86635,0,0.86810,0,0.82605,0,0.86099,0,0.90238,0,0.91169,0
bitrateSwitch,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),2513,7859,7662,7680,5783,9327,2088,1785,1448,708,950,904,940,1126,1078,808,950,911,973,955,1052,879,1127,903

IP,10.0.0.6
Attribute,HIGH
initTime,2023-04-14 12:37:05.124641
endTime,2023-04-14 12:39:26.448309
liveTime(sec),141.323668
startupDelay,326
Total stalling Event,0
player width,1280
player height,720
time,13.616,18.658,24.820,29.783,35.531,39.759,44.460,48.955,57.954,62.291,66.837,73.035,78.110,82.397,85.735,91.694,95.596,101.429,105.754,111.176,115.340,119.042,123.891,128.876
elapsed,0.000,5.042,11.204,16.167,21.915,26.143,30.844,35.339,44.338,48.675,53.221,59.419,64.494,68.781,72.119,78.078,81.980,87.813,92.138,97.560,101.724,105.426,110.275,115.260
