Server Info
Server CPU Core,40
Server CPU Freq,0.0 GHz
Server RAM Total,23 GB
time,2.888,5.809,8.733,11.690,14.558,17.448,20.359,23.333,26.582,29.361,32.736,36.137,42.088,48.966,53.632,59.358,65.213,70.896,76.732,81.592,87.267,92.508,97.500,102.807,108.366,113.591,117.361,124.014,127.570,130.491,133.306,136.190,139.082,141.981,144.906,147.785,150.638
Player Connected,0,0,3,9,19,23,26,27,31,38,43,48,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
TX (Kbps),0.0,0.0,3.3984,14.8203,21.5605,53.0918,63.6211,187.9277,124.8848,107.2812,192.6523,292.0781,413.502,648.7852,390.2988,471.5508,486.7031,341.9414,443.1738,277.4277,407.6133,405.7812,411.9609,424.3496,449.6289,378.1523,149.4746,541.4365,90.873,31.4844,86.5312,0.3926,0.0,0.2637,0.0,0.0,8.8018
RX (Kbps),0.0449,0.0449,3.8398,18.2275,19.6367,2266.877,4332.002,6932.9336,5999.1426,4541.4512,7185.6104,7143.1172,17741.1133,23211.6465,19774.6816,19079.1426,21332.7305,23221.4785,19198.9258,9043.7822,13500.1641,17696.4902,15778.1533,16483.2646,16763.124,9338.6387,18074.2744,18978.3545,4465.8438,1442.9863,1741.0176,0.0449,0.0449,0.0449,0.0449,0.0449,3.8086
TX + RX (Kbps),0.0449,0.0449,7.2382,33.047799999999995,41.1972,2319.9688,4395.623100000001,7120.8613000000005,6124.0274,4648.732400000001,7378.262699999999,7435.195299999999,18154.6153,23860.431699999997,20164.9804,19550.6934,21819.4336,23563.4199,19642.0996,9321.2099,13907.777399999999,18102.2714,16190.1142,16907.6142,17212.7529,9716.791,18223.749,19519.791,4556.716799999999,1474.4707,1827.5487999999998,0.4375,0.0449,0.3086,0.0449,0.0449,12.6104
CPU Usage Percent,3.3,3.4,4.1,5.4,9.4,11.8,14.8,28.4,27.5,20.7,34.0,32.2,51.8,59.7,55.3,55.9,55.1,55.8,54.4,53.2,55.4,54.2,51.7,53.6,52.9,51.3,23.3,56.0,42.1,18.9,15.3,5.2,4.0,4.0,4.0,4.1,4.9
RAM Usage Percent,6.3,6.3,6.4,6.6,7.0,7.2,8.0,8.9,9.0,9.2,11.0,10.7,14.9,15.0,12.1,13.9,14.6,12.6,14.2,13.8,14.3,15.0,14.2,13.5,14.0,14.7,12.5,15.9,11.3,10.7,10.9,10.6,10.6,10.6,10.6,10.6,10.6

IP,10.0.0.49
Attribute,HIGH
initTime,2023-04-20 19:54:30.163706
endTime,2023-04-20 19:56:54.935510
liveTime(sec),144.771804
startupDelay,720
Total stalling Event,0
player width,1280
player height,720
time,10.810,15.668,20.852,25.828,32.329,39.099,43.268,48.621,53.083,58.479,63.049,67.237,72.194,77.942,81.971,88.508,92.253,98.645,102.283,109.235,112.536,119.242
