Server Info
IP,10.0.0.3
Attribute,HIGH
initTime,2023-05-18 00:25:10.843801
endTime,2023-05-18 00:27:20.714104
liveTime(sec),129.870303
startupDelay,4524
Total stalling Event,0
player width,1280
player height,720
time,26.640,32.119,113.145,128.032
elapsed,0.000,5.479,86.505,101.392
bitrate,400,1401,800,2000
framerate,29.97,29.97,29.97,29.97
bufferLevel,3.717,10.805,16.694,12.564
GMSD,0,0,0.87320,0
bitrateSwitch,0,1,1,1
stalling,0,0,0,0
stallingTime (sec),0,0,0,0
Throughput (Kbps),1989,2509,2154,1617

IP,10.0.0.11
Attribute,HIGH
initTime,2023-05-18 00:25:11.017710
endTime,2023-05-18 00:27:20.714107
liveTime(sec),129.696397
startupDelay,2722
Total stalling Event,0
player width,1280
player height,720
time,26.954,32.304,94.060,110.337,118.107,118.757,119.076,123.199,124.608,126.654,127.258,127.852
elapsed,0.000,5.350,67.106,83.383,91.153,91.803,92.122,96.245,97.654,99.700,100.304,100.898
bitrate,2000,1401,400,2000,400,1401,1401,400,2000,2000,800,2000
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,2.88,0.156,0.208,12.771,9.845,14.48,4.066,0,23.906,2.223,1.352,25.919
GMSD,0,0,0.96444,0,0.85305,0,0,0.75282,0.86750,0,0.86302,0
bitrateSwitch,0,1,1,1,1,1,0,1,1,0,1,1
stalling,0,1,1,0,0,0,0,1,0,0,0,0
stallingTime (sec),0,1,2,2,2,2,2,3,3,3,3,3
Throughput (Kbps),3321,2032,3333,1934,2199,1208,2982,2172,2763,3286,3222,3022

IP,10.0.0.9
Attribute,HIGH
initTime,2023-05-18 00:25:11.310839
endTime,2023-05-18 00:27:20.714109
liveTime(sec),129.40327
startupDelay,2573
Total stalling Event,0
player width,1280
player height,720
time,27.012,33.060,113.754,117.554,119.394,125.944,126.390,127.299,129.297,131.723,131.978,132.231,132.891,132.968,134.650,134.666,135.256,135.677,135.759,136.004,136.237,136.616,136.762
elapsed,0.000,6.048,86.742,90.542,92.382,98.932,99.378,100.287,102.285,104.711,104.966,105.219,105.879,105.956,107.638,107.654,108.244,108.665,108.747,108.992,109.225,109.604,109.750
bitrate,2000,1401,2000,2000,2000,400,400,1401,800,400,2000,2000,1401,800,800,400,1401,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,3.299,0.92,0.368,18.704,7.396,0.118,7.408,15.802,4.117,10.482,23.981,12.381,3.898,2.727,9.355,30.128,2.39,59.746,59.868,9.536,60.471,61.379,61.953
GMSD,0,0,0.99670,0,0,0,0,0,0.89305,0,0,0.87039,0,0,0.91239,0.83171,0,0,0.89789,0,0,0.78815,0
bitrateSwitch,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0
stalling,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Throughput (Kbps),3321,2032,1299,1324,2051,2073,1877,1531,2970,3189,3087,3852,3581,3653,3587,3695,3647,3126,910,2132,1027,907,1006

IP,10.0.0.4
Attribute,HIGH
initTime,2023-05-18 00:25:11.733436
endTime,2023-05-18 00:27:20.714112
liveTime(sec),128.980676
startupDelay,3397
Total stalling Event,0
player width,1280
player height,720
time,27.912,35.193,66.442,82.549,83.257,84.512,87.491,90.733,94.948,97.894,101.831,106.452,107.690,109.212,112.702,114.362,117.858,119.375,122.565,127.244
elapsed,0.000,7.281,38.530,54.637,55.345,56.600,59.579,62.821,67.036,69.982,73.919,78.540,79.778,81.300,84.790,86.450,89.946,91.463,94.653,99.332
bitrate,2000,2000,2000,800,2000,800,1401,2000,2000,800,2000,2000,800,1401,800,2000,2000,2000,2000,2000
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,10.559,5.534,0.758,4.479,12.64,2.527,3.554,22.537,17.591,11.544,7.493,2.712,1.552,5.629,20.56,4.01,27.631,22.857,17.599,12.761
GMSD,0,0,0.87068,0,0.97348,0,0.85631,0,0.89411,0.98454,0,0,0,0.97088,0,0.96433,0,0.95464,0,0.99804
bitrateSwitch,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0
stalling,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Throughput (Kbps),3197,0,0,2329,1617,1415,1824,2459,3153,2720,1482,1611,3750,2554,3590,2655,1927,1934,1624,1662

IP,10.0.0.12
Attribute,HIGH
initTime,2023-05-18 00:25:12.099863
endTime,2023-05-18 00:27:20.714115
liveTime(sec),128.614252
startupDelay,3313
Total stalling Event,0
player width,1280
player height,720
time,27.899,34.658,81.021,85.206,86.142,86.842,87.935,90.045,92.261,93.173,93.979,96.694,99.610,99.629,103.954,109.973,114.031,122.336,123.084,127.487
elapsed,0.000,6.759,53.122,57.307,58.243,58.943,60.036,62.146,64.362,65.274,66.080,68.795,71.711,71.730,76.055,82.074,86.132,94.437,95.185,99.588
bitrate,1401,2000,400,400,2000,400,2000,2000,2000,1401,2000,800,400,800,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,4.992,0.419,0.258,0.42,9.27,13.006,17.798,7.238,19.548,3.319,0,6.985,6.67,1.531,27.7,51.91,60.511,60.236,60.666,60.817
GMSD,0,0,0.86029,0.90765,0.89193,0.86200,0,0.82108,0,0,0.87102,0,0.92500,0,0,0,0.91047,0,0,0.79236
bitrateSwitch,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
stalling,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,1,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
Throughput (Kbps),2398,2677,3229,3242,1616,2508,2776,2063,1903,3865,2444,4051,2361,1625,2999,2909,1671,897,914,910

IP,10.0.0.35
Attribute,HIGH
initTime,2023-05-18 00:25:12.599557
endTime,2023-05-18 00:27:20.714117
liveTime(sec),128.11456
startupDelay,4608
Total stalling Event,0
player width,1280
player height,720
time,27.784,34.089
elapsed,0.000,6.305
bitrate,400,1401
framerate,29.97,29.97
bufferLevel,3.872,4.028
GMSD,0,0
bitrateSwitch,0,1
stalling,0,0
stallingTime (sec),0,0
Throughput (Kbps),1989,2753

IP,10.0.0.10
Attribute,HIGH
initTime,2023-05-18 00:25:12.876154
endTime,2023-05-18 00:27:20.714120
liveTime(sec),127.837966
startupDelay,3358
Total stalling Event,0
player width,1280
player height,720
time,28.405,35.437,87.583,88.343,90.688,95.325,95.750,98.288,98.558,99.024,99.208,99.227,102.246,104.956,108.787,112.673,118.974,120.586,123.886,127.760,130.304,133.563
elapsed,0.000,7.032,59.178,59.938,62.283,66.920,67.345,69.883,70.153,70.619,70.803,70.822,73.841,76.551,80.382,84.268,90.569,92.181,95.481,99.355,101.899,105.158
bitrate,1401,1401,400,2000,1401,400,2000,400,800,2000,400,800,2000,2000,1401,400,2000,2000,1401,800,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,4.689,3.325,2.417,17.699,10.456,10.45,17.805,9.567,4.311,6.519,0.296,0.523,28.477,6.846,1.582,11.004,19.203,7.902,9.34,33.431,62.258,62.856
GMSD,0,0,0.88043,0.94168,0,0.94542,0,0.84946,0.87053,0,0,0,0,0.90034,0.94732,0,0.90722,0,0.87787,0,0.92240,0
bitrateSwitch,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
stalling,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2
Throughput (Kbps),2398,3089,2414,2908,2042,2199,1324,2132,2283,3675,3264,1766,3315,2362,2536,3192,1747,5136,7078,6256,6199,943

IP,10.0.0.5
Attribute,HIGH
initTime,2023-05-18 00:25:13.101810
endTime,2023-05-18 00:27:20.714123
liveTime(sec),127.612313
startupDelay,3601
Total stalling Event,0
player width,1280
player height,720
time,27.702,33.569,69.088,131.546,131.978,132.073,132.398,132.690,133.092,133.719,133.757,133.896,134.935,135.398,135.802,136.071,136.311
elapsed,0.000,5.867,41.386,103.844,104.276,104.371,104.696,104.988,105.390,106.017,106.055,106.194,107.233,107.696,108.100,108.369,108.609
bitrate,2000,2000,800,400,2000,1401,800,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,10.137,0.418,4.218,59.189,2.139,0.334,2.28,14.908,31.692,43.45,59.968,60.471,60.228,60.884,61.601,57.562,58.972
GMSD,0,0,0.93322,0.75479,0,0,0,0,0,0,0,0,0,0,0,0,0
bitrateSwitch,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
stalling,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Throughput (Kbps),4114,0,2504,897,3673,1823,1695,2244,2152,2050,1612,947,866,1010,1033,660,1011

IP,10.0.0.36
Attribute,HIGH
initTime,2023-05-18 00:25:13.338977
endTime,2023-05-18 00:27:20.714125
liveTime(sec),127.375148
startupDelay,3851
Total stalling Event,0
player width,1280
player height,720
time,28.568,37.909,96.792,97.366,100.078,100.539,102.919,104.295,104.825,109.304,109.608,112.206,116.145,117.104,117.658,120.428,121.856,122.436
elapsed,0.000,9.341,68.224,68.798,71.510,71.971,74.351,75.727,76.257,80.736,81.040,83.638,87.577,88.536,89.090,91.860,93.288,93.868
bitrate,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,7.119,3.741,21.895,38.906,55.178,61.619,2.745,61.944,58.391,59.181,59.649,59.598,60.906,9.9,61.287,60.882,61.333,60.707
GMSD,0,0,0,0,0.85689,0.89056,0.86716,0,0,0,0.78406,0.94521,0,0,0,0.87029,0,0.93355
bitrateSwitch,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),2398,2343,1947,2028,2221,1119,2407,950,571,1010,1033,1035,986,2199,814,985,957,889

IP,10.0.0.6
Attribute,HIGH
initTime,2023-05-18 00:25:13.703353
endTime,2023-05-18 00:27:20.714128
liveTime(sec),127.010775
startupDelay,1987
Total stalling Event,0
player width,1280
player height,720
time,28.711,37.803,90.490,91.298,93.065,94.077,95.618,96.035,99.118,102.711,106.270,109.758,110.366,113.232,115.381,117.634,120.450,123.918,125.145,128.454,130.914,134.792
elapsed,0.000,9.092,61.779,62.587,64.354,65.366,66.907,67.324,70.407,74.000,77.559,81.047,81.655,84.521,86.670,88.923,91.739,95.207,96.434,99.743,102.203,106.081
bitrate,2000,1401,400,1401,400,400,400,400,400,400,400,400,400,800,400,400,800,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,1.392,0.394,58.629,0.81,13.124,29.902,45.686,62.043,59.08,59.249,59.779,60.226,60.456,1.356,57.648,61.358,0.808,58.421,55.36,59.149,60.385,61.609
GMSD,0,0,0,0,0.92813,0,0,0,0.86918,0.84908,0.94353,0,0,0,0,0.90616,0.82354,0.97348,0,0.89513,0.84504,0.90319
bitrateSwitch,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
stalling,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
stallingTime (sec),0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Throughput (Kbps),2768,2034,940,2631,2356,2221,2355,1612,578,998,1046,956,1011,2155,570,1240,1958,620,607,1321,1052,879

IP,10.0.0.21
Attribute,HIGH
initTime,2023-05-18 00:25:14.148933
endTime,2023-05-18 00:27:20.714130
liveTime(sec),126.565197
startupDelay,4756
Total stalling Event,0
player width,1280
player height,720
time,28.876,37.965,112.937,124.939,126.445,127.056,128.309,129.087,129.271,131.120,131.270,131.505,132.590,132.896,133.355,133.768,134.086,134.285,134.852
elapsed,0.000,9.089,84.061,96.063,97.569,98.180,99.433,100.211,100.395,102.244,102.394,102.629,103.714,104.020,104.479,104.892,105.210,105.409,105.976
bitrate,400,1401,2000,400,400,400,400,2000,1401,800,1401,400,400,800,1401,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,4.003,4.148,18.94,4.231,7.732,0.433,10.768,7.361,0.501,8.387,0.017,33.402,49.76,2.54,11.2,58.835,58.77,58.468,63.069
GMSD,0,0,0.92118,0.85151,0.84917,0,0.94502,0,0,0,0,0,0,0,0,0,0.96985,0,0
bitrateSwitch,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0
stalling,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,1,1,1,2,2,3,3,3,3,3,3,3,3,3
Throughput (Kbps),1989,2753,1324,2414,1877,3032,2506,3675,4669,3826,2452,2611,2398,1764,1156,1886,593,985,1254

IP,10.0.0.22
Attribute,HIGH
initTime,2023-05-18 00:25:14.954262
endTime,2023-05-18 00:27:20.714133
liveTime(sec),125.759871
startupDelay,4076
Total stalling Event,0
player width,1280
player height,720
time,32.050,85.200,86.207,88.096,88.510,91.182,92.165,93.741,95.090,96.635,96.753,99.824,101.577,102.407,107.672,114.169,118.513,123.757,126.009,129.098,132.203
elapsed,0.000,53.150,54.157,56.046,56.460,59.132,60.115,61.691,63.040,64.585,64.703,67.774,69.527,70.357,75.622,82.119,86.463,91.707,93.959,97.048,100.153
bitrate,800,400,400,1401,800,2000,2000,1401,2000,800,400,400,1401,2000,2000,1401,400,1401,1401,1401,800
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,6.942,20.096,6.036,6.5,2.425,0.018,17.5,18.044,6.213,2.069,0.414,3.849,1.133,21.275,9.512,4.226,9.356,21.875,14.432,22.843,60.066
GMSD,0,0,0.87112,0.86372,0,0,0.93501,0.83688,0,0,0,0.85245,0.86789,0,0,0.90379,0.67889,0,0.87775,0,0.83568
bitrateSwitch,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1
stalling,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
Throughput (Kbps),2398,2758,2361,2041,2440,1579,2162,1903,1624,2958,3544,2935,4210,1612,2704,3581,2896,3114,2201,9705,12812

IP,10.0.0.33
Attribute,HIGH
initTime,2023-05-18 00:25:15.490836
endTime,2023-05-18 00:27:20.714135
liveTime(sec),125.223299
startupDelay,3979
Total stalling Event,0
player width,1280
player height,720
time,31.136,57.270,98.581,108.330,111.660,113.373,114.893,120.735,123.400,125.989,127.808,128.903,130.828,131.002,131.267,132.444,132.754,133.275,133.944,133.991,134.650,135.219
elapsed,0.000,26.134,67.445,77.194,80.524,82.237,83.757,89.599,92.264,94.853,96.672,97.767,99.692,99.866,100.131,101.308,101.618,102.139,102.808,102.855,103.514,104.083
bitrate,800,400,2000,400,2000,1401,400,400,1401,1401,2000,400,2000,2000,400,800,800,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,6.616,6.243,11.64,7.954,20.406,3.224,6.849,0,14.176,1.523,10.178,21.571,23.108,0.077,0.476,4.193,1.3,61.939,50.818,60.143,60.235,60.814
GMSD,0,0,0,0.90505,0,0,0,0,0,0.76762,0,0,0.87679,0.86674,0.84900,0,0,0,0.80377,0,0,0
bitrateSwitch,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0
stalling,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3
Throughput (Kbps),2398,1959,3985,3181,1641,3390,2943,1959,1529,2041,3107,4112,1612,2022,2925,2176,3514,4252,0,1593,955,1052

IP,10.0.0.41
Attribute,HIGH
initTime,2023-05-18 00:25:15.839023
endTime,2023-05-18 00:27:20.714138
liveTime(sec),124.875115
startupDelay,3779
Total stalling Event,0
player width,1280
player height,720
time,32.843,94.705,100.288,111.230,115.954
elapsed,0.000,61.862,67.445,78.387,83.111
bitrate,800,2000,2000,400,400
framerate,29.97,29.97,29.97,29.97,29.97
bufferLevel,6.153,19.274,7.584,2.393,14.642
GMSD,0,0.84734,0,0,0
bitrateSwitch,0,1,0,1,0
stalling,0,0,0,0,0
stallingTime (sec),0,0,0,0,0
Throughput (Kbps),2398,2347,3510,1800,2184

IP,10.0.0.34
Attribute,HIGH
initTime,2023-05-18 00:25:16.184098
endTime,2023-05-18 00:27:20.714140
liveTime(sec),124.530042
startupDelay,3565
Total stalling Event,0
player width,1280
player height,720
time,32.907,62.382,82.409,83.380,83.492,83.843,85.244,87.660,88.600,89.497,90.984,94.278,100.107,101.715,109.311,116.502,119.211,122.969,126.059,129.313,132.553,136.539
elapsed,0.000,29.475,49.502,50.473,50.585,50.936,52.337,54.753,55.693,56.590,58.077,61.371,67.200,68.808,76.404,83.595,86.304,90.062,93.152,96.406,99.646,103.632
bitrate,800,800,2000,400,1401,2000,2000,400,400,2000,400,2000,2000,1401,400,2000,2000,800,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,4.441,1.4,0.24,7.576,11.097,19.67,8.623,1.263,7.551,25.427,4.389,13.129,2.162,0.455,14.297,18.091,6.435,3.964,9.614,61.982,58.891,62.757
GMSD,0,0,0.89094,0,0,0,0,0,0.85558,0.89452,0,0.93507,0.81034,0.93322,0.86111,0.82296,0,0,0.95567,0,0.86168,0
bitrateSwitch,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
stalling,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Throughput (Kbps),2398,1991,1624,1959,1266,1723,3432,4074,2901,2442,2418,3108,2193,2188,3254,1306,3108,8025,1953,4994,702,1229

IP,10.0.0.42
Attribute,HIGH
initTime,2023-05-18 00:25:16.731886
endTime,2023-05-18 00:27:20.714143
liveTime(sec),123.982257
startupDelay,3752
Total stalling Event,0
player width,1280
player height,720
time,35.371,49.453,81.211,82.250,83.439,83.546,84.644,86.988,89.862,95.268,101.888,102.406,102.620,105.564,109.366,115.860,119.724
elapsed,0.000,14.082,45.840,46.879,48.068,48.175,49.273,51.617,54.491,59.897,66.517,67.035,67.249,70.193,73.995,80.489,84.353
bitrate,2000,800,400,400,400,400,400,400,400,400,400,400,400,800,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,1.029,3.558,51.559,34.604,58.912,59.531,59.769,59.926,59.578,18.023,59.805,5.829,60.032,0.201,60.509,59.045,59.339
GMSD,0,0,0,0.86302,0,0,0,0.85549,0.91236,0.84715,0.88205,0,0,0.85290,0.85483,0,0.85603
bitrateSwitch,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Throughput (Kbps),1987,2681,2355,2221,1197,708,950,904,940,1977,1126,2675,1078,1553,808,950,911

IP,10.0.0.23
Attribute,HIGH
initTime,2023-05-18 00:25:17.763786
endTime,2023-05-18 00:27:20.714147
liveTime(sec),122.950361
startupDelay,5769
Total stalling Event,0
player width,1280
player height,720
time,34.706,101.447,117.989
elapsed,0.000,66.741,83.283
bitrate,2000,400,400
framerate,29.97,29.97,29.97
bufferLevel,0,58.285,58.692
GMSD,0,0,0.93622
bitrateSwitch,0,1,0
stalling,0,0,0
stallingTime (sec),0,0,0
Throughput (Kbps),11,1011,822

IP,10.0.0.24
Attribute,HIGH
initTime,2023-05-18 00:25:18.218623
endTime,2023-05-18 00:27:20.714149
liveTime(sec),122.495526
startupDelay,4719
Total stalling Event,0
player width,1280
player height,720
time,81.717,84.635,85.744,86.430,87.940,89.190,90.472,92.452,93.307,94.058,97.829,104.688,105.138,107.192,114.050,117.782
elapsed,0.000,2.918,4.027,4.713,6.223,7.473,8.755,10.735,11.590,12.341,16.112,22.971,23.421,25.475,32.333,36.065
bitrate,800,400,400,400,400,400,400,400,400,400,400,400,800,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,0.098,20.089,4.137,35.967,51.594,59.582,59.458,60.511,59.875,3.957,59.317,59.09,4.295,60.126,58.642,59.259
GMSD,0,0,0.79705,0,0.86104,0,0.91093,0.90282,0,0,0.84896,0,0,0.87204,0.90862,0
bitrateSwitch,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),1550,2268,2361,2097,2246,1106,866,1010,1033,1989,1035,986,1973,947,814,985

IP,10.0.0.47
Attribute,HIGH
initTime,2023-05-18 00:25:18.596808
endTime,2023-05-18 00:27:20.714152
liveTime(sec),122.117344
startupDelay,4888
Total stalling Event,0
player width,1280
player height,720
time,37.992,120.536,124.257,124.716,127.245,127.510,128.515,129.454,129.710,131.636
elapsed,0.000,82.544,86.265,86.724,89.253,89.518,90.523,91.462,91.718,93.644
bitrate,400,400,1401,2000,800,2000,2000,2000,2000,2000
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,4.004,11.324,22.316,2.171,4.425,30.293,25.462,20.477,15.444,5.482
GMSD,0,0,0.90938,0,0,0,0.91681,0,0,0.93989
bitrateSwitch,0,0,1,1,1,1,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),1989,2238,3813,1880,2444,2184,2037,2582,2125,3153

IP,10.0.0.20
Attribute,HIGH
initTime,2023-05-18 00:25:19.915744
endTime,2023-05-18 00:27:20.714154
liveTime(sec),120.79841
startupDelay,0
Total stalling Event,0
player width,1280
player height,720
time,60.267,98.388,100.603,100.610,101.712,105.302,108.331,108.362,109.897,111.638,116.281,117.587,118.062,120.759,123.028,124.672
elapsed,0.000,38.121,40.336,40.343,41.445,45.035,48.064,48.095,49.630,51.371,56.014,57.320,57.795,60.492,62.761,64.405
bitrate,400,800,400,400,2000,800,400,1401,2000,2000,400,800,400,400,1401,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,3.818,0.089,5.98,3.428,7.013,2.812,20.349,8.434,16.271,3.715,20.6,5.635,61.186,41.454,3.96,57.675
GMSD,0,0.86993,0,0,0,0.87387,0,0,0.85186,0,0.84938,0,0,0,0,0.89447
bitrateSwitch,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
stalling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Throughput (Kbps),1989,1764,1877,2414,892,3668,3058,7021,3858,3558,2871,2234,2442,2793,1974,570

IP,10.0.0.40
Attribute,HIGH
initTime,2023-05-18 00:25:20.285264
endTime,2023-05-18 00:27:20.714157
liveTime(sec),120.428893
startupDelay,4701
Total stalling Event,0
player width,1280
player height,720
time,102.572,107.348,107.769,110.736,112.746,113.914,115.114,115.707,118.669,119.577,120.324,120.950,121.230,124.197,124.559,125.483
elapsed,0.000,4.776,5.197,8.164,10.174,11.342,12.542,13.135,16.097,17.005,17.752,18.378,18.658,21.625,21.987,22.911
bitrate,800,2000,2000,400,2000,2000,2000,2000,400,800,400,400,400,400,2000,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,1.117,16.373,5.679,4.159,22.733,17.228,11.025,0,3.962,3.96,16.494,0.399,3.6,0.647,5.984,20.079
GMSD,0,0.96640,0.86391,0.74432,0.89607,0,0.77202,0,0.87482,0,0,0,0,0.86387,0,0
bitrateSwitch,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1
stalling,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
stallingTime (sec),0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3
Throughput (Kbps),1631,2184,1866,2708,2462,2303,1936,3558,1989,3387,2549,2120,2238,1988,4897,3112

IP,10.0.0.48
Attribute,HIGH
initTime,2023-05-18 00:25:20.844641
endTime,2023-05-18 00:27:20.714160
liveTime(sec),119.869519
startupDelay,4729
Total stalling Event,0
player width,1280
player height,720
time,54.160,82.937,83.029,85.880,86.484,87.955,90.275,92.630,100.318,102.506,103.108,107.936,108.089,112.396,114.672,118.939,121.309,125.829,129.405
elapsed,0.000,28.777,28.869,31.720,32.324,33.795,36.115,38.470,46.158,48.346,48.948,53.776,53.929,58.236,60.512,64.779,67.149,71.669,75.245
bitrate,1401,400,1401,2000,800,2000,2000,2000,2000,2000,400,800,800,400,2000,2000,2000,2000,2000
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,6.869,4.004,2.096,12.703,1.608,27.714,22.637,17.676,2.747,7.805,5.609,5.829,16.827,20.755,27.817,22.75,17.904,12.889,7.816
GMSD,0,0,0,0.96595,0,0,0.90922,0,0.92649,0.88092,0.99684,0.87652,0,0.95855,0,0,0.86182,0,0.99833
bitrateSwitch,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
