Server Info
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),7765,7869,15198,1301,2088,1448,2000,1174,940,1433,771,587,1785,1163,985,889,957,1471,1065,600,1439,598,1251

IP,10.0.0.37
Attribute,HIGH
initTime,2023-05-18 00:24:56.666620
endTime,2023-05-18 00:27:20.714017
liveTime(sec),144.047397
startupDelay,1464
Total stalling Event,0
player width,1280
player height,720
time,11.881,16.863,22.166,27.880,34.088,117.300
elapsed,0.000,4.982,10.285,15.999,22.207,105.419
bitrate,2000,1401,1401,800,800,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,4.954,15.038,40.075,56.561,57.117,59.627
GMSD,0,0,0.99454,0,0.98125,0.96245
bitrateSwitch,0,1,0,1,0,1
stalling,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0
Throughput (Kbps),5899,8269,10335,6343,1927,1033

IP,10.0.0.38
Attribute,HIGH
initTime,2023-05-18 00:24:57.926215
endTime,2023-05-18 00:27:20.714019
liveTime(sec),142.787804
startupDelay,394
Total stalling Event,0
player width,1280
player height,720
time,13.712,18.691,24.858,28.982,37.913,49.914,70.138,84.164,88.543,89.114,92.365,92.731,95.431,95.824,98.978,100.820,105.652,107.148,112.442,117.464
elapsed,0.000,4.979,11.146,15.270,24.201,36.202,56.426,70.452,74.831,75.402,78.653,79.019,81.719,82.112,85.266,87.108,91.940,93.436,98.730,103.752
bitrate,2000,1401,1401,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,3.198,5.164,9.674,14.211,15.04,23.339,55.449,59.908,59.871,35.247,60.305,57.215,61.862,58.64,60.532,60.831,60.92,57.87,57.629,57.432
GMSD,0,0,0.94190,0,0.87197,0,0,0.86784,0,0,0.83834,0.87951,0,0,0,0.94623,0.90210,0.87423,0.86599,0
bitrateSwitch,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),5899,4973,6187,2969,1883,2210,1959,904,1243,2008,814,771,1433,587,985,940,889,709,907,1006

IP,10.0.0.49
Attribute,HIGH
initTime,2023-05-18 00:24:59.119009
endTime,2023-05-18 00:27:20.714022
liveTime(sec),141.595013
startupDelay,889
Total stalling Event,0
player width,1280
player height,720
time,14.452,19.574,25.269,30.239,106.588,118.445,121.721,124.236,126.629,127.831,128.495,128.963,129.583,130.918,131.776
elapsed,0.000,5.122,10.817,15.787,92.136,103.993,107.269,109.784,112.177,113.379,114.043,114.511,115.131,116.466,117.324
bitrate,2000,1401,1401,800,800,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,6.118,11.069,11.785,20.541,21.051,61.547,59.752,29.749,42.486,58.806,59.121,60.83,62.104,57.674,61.874
GMSD,0,0,0.98229,0,0.90894,0.86322,0.95670,0.86521,0,0.91639,0,0,0,0,0.94667
bitrateSwitch,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),7765,6403,4099,3424,2148,1078,940,2465,1986,950,904,1126,808,593,1267

IP,10.0.0.17
Attribute,HIGH
initTime,2023-05-18 00:24:59.428146
endTime,2023-05-18 00:27:20.714025
liveTime(sec),141.285879
startupDelay,1462
Total stalling Event,0
player width,1280
player height,720
time,14.390,19.562,25.181,29.832,71.048,93.776,109.616,123.761
elapsed,0.000,5.172,10.791,15.442,56.658,79.386,95.226,109.371
bitrate,2000,1401,1401,800,400,800,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
