Server Info
bufferLevel,11.96
GMSD,0
bitrateSwitch,0
stalling,0
stallingTime (sec),0
Throughput (Kbps),3646

IP,10.0.0.11
Attribute,HIGH
initTime,2023-05-11 13:14:42.811008
endTime,2023-05-11 13:16:27.804294
liveTime(sec),104.993286
startupDelay,1912
Total stalling Event,0
player width,1280
player height,720
time,45.134
elapsed,0.000
bitrate,400
framerate,29.97
bufferLevel,48.624
GMSD,0
bitrateSwitch,0
stalling,0
stallingTime (sec),0
Throughput (Kbps),7279

IP,10.0.0.35
Attribute,HIGH
initTime,2023-05-11 13:14:43.508858
endTime,2023-05-11 13:16:28.013104
liveTime(sec),104.504246
startupDelay,2566
Total stalling Event,0
player width,1280
player height,720
time,45.126
elapsed,0.000
bitrate,2000
framerate,29.97
bufferLevel,6.671
GMSD,0
bitrateSwitch,0
stalling,0
stallingTime (sec),0
Throughput (Kbps),5899

IP,10.0.0.7
Attribute,HIGH
initTime,2023-05-11 13:14:23.635639
endTime,2023-05-11 13:16:29.588523
liveTime(sec),125.952884
startupDelay,2737
Total stalling Event,0
player width,1280
player height,720
time,24.838,33.482,45.938
elapsed,0.000,8.644,21.100
bitrate,400,400,400
framerate,29.97,29.97,29.97
bufferLevel,12.327,20,32.708
GMSD,0,0.76714,0
bitrateSwitch,0,0,0
stalling,0,0,0
stallingTime (sec),0,0,0
Throughput (Kbps),1668,1868,1896

IP,10.0.0.21
Attribute,HIGH
initTime,2023-05-11 13:14:26.066875
endTime,2023-05-11 13:16:29.480701
liveTime(sec),123.413826
startupDelay,1449
Total stalling Event,0
player width,1280
player height,720
time,25.456,30.513,36.666,45.847
elapsed,0.000,5.057,11.210,20.391
bitrate,2000,1401,1401,800
framerate,29.97,29.97,29.97,29.97
bufferLevel,7.398,48.714,44.971,44.926
GMSD,0,0,0.87546,0
bitrateSwitch,0,1,0,1
stalling,0,0,0,0
stallingTime (sec),0,0,0,0
Throughput (Kbps),7765,16739,2563,1991

IP,10.0.0.22
Attribute,HIGH
initTime,2023-05-11 13:14:27.276286
endTime,2023-05-11 13:16:29.659856
liveTime(sec),122.38357
startupDelay,902
Total stalling Event,0
player width,1280
player height,720
time,27.042,32.158,42.326,46.398
elapsed,0.000,5.116,15.284,19.356
bitrate,2000,1401,1401,800
framerate,29.97,29.97,29.97,29.97
bufferLevel,7.996,28.045,44.032,45.088
GMSD,0,0,0.86844,0
bitrateSwitch,0,1,0,1
stalling,0,0,0,0
stallingTime (sec),0,0,0,0
Throughput (Kbps),7765,11564,7738,1991

IP,10.0.0.13
Attribute,HIGH
initTime,2023-05-11 13:14:35.013545
endTime,2023-05-11 13:16:28.787024
liveTime(sec),113.773479
startupDelay,1846
Total stalling Event,0
player width,1280
player height,720
time,34.188,45.207
elapsed,0.000,11.019
bitrate,400,400
framerate,29.97,29.97
bufferLevel,44.428,36.308
GMSD,0,0
bitrateSwitch,0,0
stalling,0,0
stallingTime (sec),0,0
Throughput (Kbps),6991,288

IP,10.0.0.14
Attribute,HIGH
initTime,2023-05-11 13:14:35.473243
endTime,2023-05-11 13:16:29.081501
liveTime(sec),113.608258
startupDelay,1169
Total stalling Event,0
player width,1280
player height,720
time,36.473,46.088
elapsed,0.000,9.615
bitrate,2000,1401
framerate,29.97,29.97
bufferLevel,6.734,47.188
GMSD,0,0
bitrateSwitch,0,1
stalling,0,0
stallingTime (sec),0,0
Throughput (Kbps),7765,16739

IP,10.0.0.49
Attribute,HIGH
initTime,2023-05-11 13:14:35.973002
endTime,2023-05-11 13:16:29.346025
liveTime(sec),113.373023
startupDelay,794
Total stalling Event,0
player width,1280
player height,720
time,36.620,45.582
elapsed,0.000,8.962
bitrate,2000,1401
framerate,29.97,29.97
bufferLevel,6.752,30.671
GMSD,0,0
bitrateSwitch,0,1
stalling,0,0
stallingTime (sec),0,0
Throughput (Kbps),7765,13535

IP,10.0.0.9
Attribute,HIGH
initTime,2023-05-11 13:14:37.704108
endTime,2023-05-11 13:16:29.637968
liveTime(sec),111.93386
startupDelay,1430
Total stalling Event,0
player width,1280
player height,720
time,42.408,46.152
elapsed,0.000,3.744
bitrate,400,400
framerate,29.97,29.97
bufferLevel,47.512,36.534
GMSD,0,0
bitrateSwitch,0,0
stalling,0,0
stallingTime (sec),0,0
Throughput (Kbps),7279,0

IP,10.0.0.29
Attribute,HIGH
initTime,2023-05-11 13:14:43.155589
endTime,2023-05-11 13:16:27.925319
liveTime(sec),104.76973
startupDelay,1982
Total stalling Event,0
player width,1280
player height,720
time,44.655
elapsed,0.000
bitrate,2000
framerate,29.97
bufferLevel,5.688
GMSD,0
bitrateSwitch,0
stalling,0
stallingTime (sec),0
Throughput (Kbps),5899

IP,10.0.0.36
Attribute,HIGH
initTime,2023-05-11 13:14:45.710177
endTime,2023-05-11 13:16:29.008377
liveTime(sec),103.2982
startupDelay,1710
Total stalling Event,0
player width,1280
player height,720
time,46.094
elapsed,0.000
bitrate,2000
framerate,29.97
bufferLevel,7.883
GMSD,0
bitrateSwitch,0
stalling,0
stallingTime (sec),0
Throughput (Kbps),7765

IP,10.0.0.3
Attribute,HIGH
