Server Info
Server CPU Core,40
Server CPU Freq,0.0 GHz
Server RAM Total,23 GB
time,2.883,5.812,8.712,11.553,14.392,17.282,20.137,22.930,25.683,28.482,31.477,35.088,38.917,45.118,50.664,56.449,61.831,66.809,72.216,77.445,83.066,87.989,92.746,97.640,103.054,107.832,112.920,117.451,121.828,124.838,128.047,131.039,133.932,137.114,140.055,142.866,145.779,148.708,151.582
Player Connected,0,3,11,16,17,20,23,26,32,33,40,45,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
TX (Kbps),0.0,2.4268,15.3936,13.0176,7.75,88.4131,88.5566,34.1221,34.8047,124.6172,77.6396,95.3721,124.0479,137.1816,201.7305,185.6006,236.5674,136.917,243.9062,175.5449,244.4971,141.1084,192.6807,133.083,189.9844,147.2148,209.4688,106.7051,153.248,100.6934,118.5215,104.1748,73.4795,124.8613,34.1328,30.1816,0.0,0.0,2.2676
RX (Kbps),0.0449,6.6162,9.7256,14.2959,11.9648,8000.4688,4428.4131,2306.0371,3234.1777,5994.7441,6806.6172,8434.9102,15398.0596,12118.3916,16904.6436,16733.5029,13812.2412,14055.0195,20271.0322,15965.5928,17481.0957,18803.376,15855.9805,20368.1094,17535.4199,19895.9521,20071.7617,18764.6865,15139.457,7257.2441,7347.1201,5776.2783,4967.2764,14518.4316,1814.8252,1131.6963,0.0449,1.7363,0.0449
TX + RX (Kbps),0.0449,9.043,25.1192,27.313499999999998,19.7148,8088.881899999999,4516.9697,2340.1592,3268.9824000000003,6119.3613,6884.2568,8530.2823,15522.1075,12255.5732,17106.3741,16919.1035,14048.8086,14191.9365,20514.938400000003,16141.137700000001,17725.592800000002,18944.4844,16048.6612,20501.1924,17725.404300000002,20043.1669,20281.230499999998,18871.3916,15292.705,7357.9375,7465.6416,5880.4531,5040.7559,14643.2929,1848.958,1161.8779,0.0449,1.7363,2.3125
CPU Usage Percent,3.4,3.7,5.8,7.4,6.8,17.6,20.4,17.0,20.8,35.2,25.2,34.8,41.0,57.4,57.6,57.8,56.8,55.9,57.0,53.7,56.7,55.3,55.1,53.9,53.6,53.4,55.7,54.2,56.8,46.3,48.9,40.7,31.4,36.1,24.8,18.9,4.0,3.8,5.0
RAM Usage Percent,5.6,5.6,5.9,6.2,6.2,8.4,7.7,7.2,7.8,8.8,9.6,10.5,11.3,13.3,14.8,13.7,14.3,14.1,13.7,13.3,14.0,14.1,13.9,13.5,12.7,12.9,14.6,14.1,14.5,11.9,13.2,12.2,11.5,12.5,10.7,10.2,10.2,10.2,10.2

IP,10.0.0.25
Attribute,HIGH
initTime,2023-05-17 20:57:30.513399
endTime,2023-05-17 20:59:56.966125
liveTime(sec),146.452726
startupDelay,1495
Total stalling Event,0
player width,1280
player height,720
time,9.095,14.184,19.112,24.321,30.121,35.953,42.037,45.988,50.781,55.622,60.370,65.813,69.853,75.598,80.952,85.486,90.521,95.057,100.143,105.016,110.056,115.023,119.840,124.558,129.391,134.360,139.379
elapsed,0.000,5.089,10.017,15.226,21.026,26.858,32.942,36.893,41.686,46.527,51.275,56.718,60.758,66.503,71.857,76.391,81.426,85.962,91.048,95.921,100.961,105.928,110.745,115.463,120.296,125.265,130.284
bitrate,2000,1401,1401,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,3.986,17.081,12.967,13.734,14.442,15.039,16.088,15.665,15.256,16.926,17.322,13.797,14.263,15.675,16.041,17.415,17.383,14.521,15.47,16.418,17.05,18.079,14.642,15.22,15.284,15.901,16.802
GMSD,0,0,0.96890,0,0.87264,0,0.95019,0,0.85956,0,0.86403,0,0.90299,0,0.90261,0,0.88851,0,0.87946,0,0.91645,0,0.85795,0,0.95475,0,0.86979
bitrateSwitch,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),5899,9735,2633,2202,1883,1805,710,976,1074,786,582,537,950,904,940,1126,1078,587,814,985,889,957,659,1006,984,1052,896

IP,10.0.0.21
Attribute,HIGH
initTime,2023-05-17 20:57:30.581239
endTime,2023-05-17 20:59:56.966141
liveTime(sec),146.384902
startupDelay,1285
Total stalling Event,0
player width,1280
player height,720
time,9.281,14.554,19.339,24.598,30.937,36.488,42.307,46.140,51.256,56.866,60.938,65.840,71.142,75.719,80.406,85.380,90.578,95.360,100.381,105.357,110.585,115.491,120.151,124.649,129.716,134.562,139.547
elapsed,0.000,5.273,10.058,15.317,21.656,27.207,33.026,36.859,41.975,47.585,51.657,56.559,61.861,66.438,71.125,76.099,81.297,86.079,91.100,96.076,101.304,106.210,110.870,115.368,120.435,125.281,130.266
bitrate,2000,1401,1401,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
