Server Info
Server CPU Core,40
Server CPU Freq,0.0 GHz
Server RAM Total,23 GB
time,2.863,5.807,8.763,11.772,14.730,17.566,20.489,23.449,26.331,29.216,32.230,35.012,38.851,42.683,45.786,49.815,53.486,57.507,60.650,64.681,68.445,72.424,76.081,80.227,84.055,88.318,93.086,97.205,100.917,105.085,108.868,112.615,115.721,119.126,122.339,125.292,128.178,131.084,133.962,136.870,139.741,142.666,145.538,148.461,151.334
Player Connected,0,0,1,5,6,6,6,9,11,13,16,19,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
TX (Kbps),0.0,0.0,1.4551,27.9121,40.7832,72.6641,74.041,61.0527,67.1816,120.8242,210.9805,124.0645,276.4395,474.3281,334.0879,270.3672,459.0664,503.084,330.2324,352.4414,529.4902,533.3105,399.4492,312.9531,304.0273,532.6094,585.7637,402.2598,340.7383,327.6289,317.6543,570.9863,258.207,260.1953,340.0234,69.3008,76.8457,1.9707,0.0,0.0,0.0,0.0,0.0,0.0,5.1543
RX (Kbps),0.0,0.7676,1.2969,917.1475,1334.9932,3191.3262,3302.6494,572.1865,4467.7744,4320.4258,5792.2461,5581.4209,11855.9531,16275.8438,15071.1787,8383.7432,12018.7627,20413.8408,12939.0244,10693.2529,15091.5762,20522.9824,16198.918,10416.8496,7632.8516,16693.4844,20602.5059,17901.0811,14196.2354,11402.0635,7142.3701,18992.2734,14765.0215,6134.2354,7339.6973,3802.7881,2010.6875,1.4141,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.1992
TX + RX (Kbps),0.0,0.7676,2.752,945.0596,1375.7764,3263.9903,3376.6904,633.2392,4534.956,4441.25,6003.2266,5705.4854000000005,12132.392600000001,16750.1719,15405.2666,8654.110400000001,12477.829099999999,20916.9248,13269.256800000001,11045.6943,15621.0664,21056.2929,16598.3672,10729.8027,7936.8789,17226.093800000002,21188.2696,18303.3409,14536.973699999999,11729.6924,7460.0244,19563.2597,15023.228500000001,6394.4307,7679.7207,3872.0889,2087.5332,3.3848,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,5.3535
CPU Usage Percent,3.3,3.5,3.5,5.3,5.7,10.0,8.3,10.6,10.9,18.1,21.9,19.7,33.6,44.3,37.2,42.4,43.0,37.9,38.9,40.8,41.3,38.0,40.6,41.0,42.3,39.1,40.9,41.4,38.6,41.0,43.3,39.6,35.2,34.9,29.6,13.1,13.8,6.3,3.9,3.9,3.5,3.8,3.7,3.9,4.7
RAM Usage Percent,6.3,6.3,6.4,6.5,6.9,6.6,6.9,6.7,6.9,7.4,8.9,8.6,10.5,9.8,10.6,9.8,10.8,9.2,10.7,10.0,11.6,10.7,10.1,9.7,9.7,10.8,11.2,9.5,10.6,10.5,9.2,10.5,10.5,9.2,9.8,9.2,8.8,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5

