Server Info
Server CPU Core,40
Server CPU Freq,0.0 GHz
Server RAM Total,23 GB
time,0.919,1.832,2.746,3.659,4.572,5.486,6.399,7.317,8.234,9.149,10.064,10.979,11.893,12.818,13.734,14.650,15.567,16.483,17.398,18.313,19.233,20.184,21.108,22.023,22.938,23.853,24.768,25.687,26.603,27.650,28.699,29.634,30.694,31.671,32.592,33.543,34.668,35.644,36.685,38.015,39.186,40.106,41.025,41.963,42.928,43.923,44.884,45.831,46.858,47.872,48.859,49.777,50.754,51.687,52.604,53.579,54.795,55.792,56.787,57.818,58.733,59.659,60.590,61.548,62.546,63.495,64.638,65.818,66.773,67.802,68.773,69.705,70.621,71.632,72.677,73.748,74.910,75.959,76.938,78.066,79.042,79.980,80.904,81.826,82.839,83.849,84.885,85.887,86.926,88.208,89.146,90.061,90.976,91.958,93.003,94.034,95.190,96.106,97.136,98.125,99.045,99.961,100.876,101.858,102.922,103.906,104.921,106.013,106.997,108.122,109.109,110.024,110.976,111.981,112.950,114.026,115.017,116.090,117.017,117.934,118.867,119.792,120.722,121.640,122.585,123.501,124.417,125.343,126.262,127.178,128.093,129.008,129.923,130.838,131.753,132.668,133.588,134.502,135.433,136.348,137.264,138.179,139.095,140.015,140.929,141.851,142.764,143.678,144.592,145.505,146.418,147.332,148.245,149.159,150.073
Player Connected,0,0,0,0,0,0,0,0,2,5,7,8,10,11,12,13,15,18,21,22,22,22,24,25,27,30,32,33,36,38,38,39,40,40,40,42,43,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
TX (Kbps),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7305,4.9766,7.0039,5.9043,2.1816,8.5156,2.1133,7.8867,7.084,6.1328,7.6113,12.5,31.8496,33.0449,35.6738,46.166,53.998,26.8457,33.1426,15.4629,31.7129,53.9121,43.0078,44.8496,28.7129,81.5332,36.2617,70.9082,77.0352,78.7266,60.8613,54.0586,49.3438,43.8516,53.6562,81.0273,60.8262,69.5215,56.4395,63.5273,61.8008,58.9062,54.0176,36.7227,56.8984,97.1582,59.5039,59.4062,82.7988,101.502,67.8711,79.2246,56.9375,41.3242,36.1992,57.0117,43.1934,51.0469,88.1348,102.6055,64.5469,53.7617,49.8633,37.6289,33.4551,63.6016,42.8691,54.627,66.8125,79.6523,49.166,38.8301,55.1367,34.1406,26.0723,74.7969,45.1582,61.4941,34.4062,52.416,42.707,49.2773,55.2773,45.9668,30.752,86.3984,66.2344,78.8047,73.0566,42.0254,68.1016,50.209,50.4648,38.8281,31.5977,83.6953,60.0215,96.6172,45.4922,68.5957,46.4141,48.3828,53.7148,42.5625,46.459,60.2676,44.1914,87.041,38.5508,62.9512,61.043,42.1719,54.834,22.1777,26.9551,40.2871,40.832,17.1289,21.791,5.4043,5.6855,25.334,22.8672,46.9453,28.7793,13.8945,41.0078,51.2539,14.6699,17.2637,5.1133,13.002,15.3262,3.7266,48.4023,29.6465,14.543,41.4902,2.9727,0.3281,0.0,0.0,0.0,0.0,0.0,0.0,2.9912,5.543
RX (Kbps),0.0,0.0449,0.0,0.0,0.0449,0.0,0.0449,1.1172,4.7451,6.5576,6.2461,1.7168,9.1152,1.4717,8.0234,6.7422,5.4824,8.9209,13.1455,2249.8945,3443.3555,1876.2832,1580.7031,2281.1416,1038.0566,1548.0439,395.5693,2068.543,3303.8857,2619.7666,4161.0557,2186.3125,4416.3193,1583.6396,2893.0693,6223.6309,4916.7168,4228.6152,5538.1416,3607.8506,4013.2861,5170.7314,4456.1504,3470.8896,5403.7578,6135.377,3746.3779,5634.9912,6686.0654,4752.6621,3778.6631,5299.6748,5590.4902,2711.8174,3097.2256,10017.0635,10342.8613,5338.6162,7555.918,5900.6738,2471.4844,2650.7129,3930.0791,3498.5508,3120.8447,10400.1016,10755.2275,6512.4961,6123.7734,3658.0322,2244.5557,2452.8896,3702.54,2073.7363,4301.1904,8084.3047,7135.5205,3149.5781,2944.8174,4481.5215,2745.1045,1641.2266,3830.209,1782.1377,5394.0967,4233.9365,4949.5352,4005.5996,4342.707,5309.9629,4226.7891,2023.6641,5304.8457,2416.8965,6521.791,7314.8828,3123.7217,5268.5654,4973.0518,6258.917,2770.1143,1891.7393,5132.8145,3971.1738,7164.1074,4610.1289,6700.1475,5946.2764,5341.9229,6061.5273,3486.8555,2833.7471,4024.7832,1985.7109,7467.0527,5734.2783,7266.0654,5235.5557,3770.9365,5065.8232,1669.2676,2474.9248,2422.8125,2267.1328,1147.4297,2008.3506,5.4697,59.5996,2401.3154,2313.8242,4459.3633,3273.2422,959.2393,2710.5508,2715.3564,1473.6445,1496.6338,5.8926,935.3496,1315.8467,3.0293,4730.3115,2579.6357,807.9619,2778.9863,1.6836,0.0898,0.0449,0.0,0.0,0.0449,0.0,0.0449,2.0781,2.1973
TX + RX (Kbps),0.0,0.0449,0.0,0.0,0.0449,0.0,0.0449,1.8477000000000001,9.7217,13.561499999999999,12.150400000000001,3.8984,17.6308,3.585,15.9101,13.8262,11.6152,16.5322,25.6455,2281.7441,3476.4004,1911.957,1626.8691,2335.1396,1064.9023,1581.1864999999998,411.0322,2100.2559,3357.7978,2662.7744,4205.905299999999,2215.0254,4497.8525,1619.9013,2963.9775,6300.6661,4995.4434,4289.4765,5592.2002,3657.1944000000003,4057.1376999999998,5224.3876,4537.1777,3531.7158,5473.2793,6191.816500000001,3809.9052,5696.792,6744.971600000001,4806.6797,3815.3858,5356.5732,5687.6484,2771.3213,3156.6318,10099.8623,10444.3633,5406.487300000001,7635.142599999999,5957.6113,2512.8086,2686.9121,3987.0908,3541.7442,3171.8916,10488.2364,10857.833,6577.043000000001,6177.5351,3707.8955,2282.1846,2486.3447,3766.1416,2116.6054,4355.817400000001,8151.1172,7215.172799999999,3198.7441000000003,2983.6475,4536.6582,2779.2451,1667.2989,3905.0058999999997,1827.2959,5455.5908,4268.3427,5001.9512,4048.3066,4391.9843,5365.2402,4272.7559,2054.4161,5391.2441,2483.1308999999997,6600.5957,7387.9394,3165.7471,5336.667,5023.2608,6309.3818,2808.9424000000004,1923.337,5216.509800000001,4031.1953,7260.7246,4655.621099999999,6768.7432,5992.6905,5390.3057,6115.2420999999995,3529.418,2880.2061,4085.0508,2029.9023,7554.0937,5772.8291,7329.016600000001,5296.5987,3813.1083999999996,5120.6572,1691.4452999999999,2501.8799,2463.0996,2307.9647999999997,1164.5585999999998,2030.1416,10.873999999999999,65.2851,2426.6494,2336.6914,4506.3086,3302.0215000000003,973.1338,2751.5586,2766.6103000000003,1488.3144000000002,1513.8975,11.0059,948.3516,1331.1729,6.7559000000000005,4778.7137999999995,2609.2821999999996,822.5049,2820.4765,4.6563,0.4179,0.0449,0.0,0.0,0.0449,0.0,0.0449,5.0693,7.7402999999999995
CPU Usage Percent,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,1.1,2.5,2.5,1.1,4.2,0.8,3.9,4.2,4.2,5.6,10.1,14.2,15.5,14.1,18.4,12.8,15.0,20.2,20.3,31.3,12.1,26.7,50.3,48.4,24.9,39.2,31.2,17.0,27.3,33.9,31.2,59.6,64.6,61.8,58.8,46.2,36.8,49.6,54.3,49.5,43.4,49.9,47.4,39.5,32.8,41.3,40.1,42.0,53.9,55.2,52.9,52.9,47.5,42.1,33.6,36.6,42.5,37.6,53.4,56.5,45.7,55.0,49.0,37.7,33.7,36.1,40.3,44.1,50.7,58.2,53.5,51.7,45.6,37.1,36.2,38.8,39.6,47.3,50.8,59.0,52.2,52.1,45.7,38.0,33.1,40.8,39.3,50.8,54.7,52.2,50.9,48.9,51.5,41.6,33.8,39.1,42.4,46.5,50.2,55.6,50.9,55.8,51.7,42.7,36.3,39.7,41.2,46.8,50.0,54.1,50.5,40.0,27.8,26.9,21.1,23.5,20.9,17.0,10.3,7.5,14.3,19.8,19.4,23.9,24.6,18.3,21.6,17.7,10.5,10.4,7.0,14.8,12.9,15.3,22.5,24.9,18.6,11.7,1.0,0.3,0.5,0.3,0.2,0.5,0.1,2.4,2.5
RAM Usage Percent,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.9,6.9,7.1,7.0,7.1,7.1,7.2,7.3,7.5,8.1,8.5,7.8,8.3,8.0,7.7,8.4,8.8,9.3,8.9,9.3,11.9,11.5,9.6,10.8,10.4,9.5,11.5,10.1,12.0,13.2,13.8,14.5,12.8,12.2,11.2,13.3,14.2,12.0,13.0,12.7,12.6,11.6,11.4,12.3,11.3,12.7,13.8,13.8,13.5,14.2,13.0,12.3,11.6,11.7,11.8,12.6,14.0,13.9,13.0,13.2,13.2,11.9,11.6,11.8,11.8,13.0,13.9,14.3,13.5,13.1,12.6,12.1,12.2,11.7,12.0,13.6,13.5,14.2,14.0,12.7,12.3,12.5,12.1,11.4,12.4,13.6,14.5,13.4,13.5,12.8,13.1,12.5,11.8,12.3,12.2,13.5,13.7,14.4,13.5,13.0,13.6,12.2,12.5,12.4,12.3,13.7,13.7,13.7,13.8,11.8,11.9,12.0,11.6,10.9,11.1,11.3,10.4,10.2,11.0,11.4,11.5,11.4,11.7,11.4,11.0,11.1,10.5,10.3,10.3,10.7,10.3,11.4,11.0,11.3,11.4,10.6,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2

IP,10.0.0.31
Attribute,HIGH
initTime,2023-04-12 23:44:47.982373
endTime,2023-04-12 23:47:10.793098
liveTime(sec),142.810725
startupDelay,703
Total stalling Event,0
player width,1280
player height,720
time,11.880,17.429,22.122,28.012,32.158,38.598,42.310,47.396,52.417,57.500,62.385,67.577,72.352,77.436,82.393,87.657,92.315,97.651,102.403,107.871,112.387,117.420,122.168,127.164,132.150,137.173
elapsed,0.000,5.549,10.242,16.132,20.278,26.718,30.430,35.516,40.537,45.620,50.505,55.697,60.472,65.556,70.513,75.777,80.435,85.771,90.523,95.991,100.507,105.540,110.288,115.284,120.270,125.293
bitrate,2000,1401,1401,800,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,6.65,30.751,31.316,30.859,31.013,30.993,31.23,31.933,31.567,32.874,33.162,32.348,32.799,33.836,30.414,31.363,30.79,30.346,29.882,30.664,30.304,30.473,30.628,31.23,31.495,32.323
GMSD,0,0,0.79364,0,0.81590,0,0.94208,0,0.94560,0,0.88779,0,0.89703,0,0.89321,0,0.86093,0,0.91785,0,0.84051,0,0.86442,0,0.89847,0
bitrateSwitch,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),7765,12543,3067,2149,1471,1983,1724,853,691,708,950,904,940,1126,680,986,814,985,889,957,1065,943,1095,913,935,944

IP,10.0.0.23
Attribute,HIGH
initTime,2023-04-12 23:44:48.250383
endTime,2023-04-12 23:47:10.793121
liveTime(sec),142.542738
startupDelay,1256
Total stalling Event,0
player width,1280
player height,720
time,11.862,17.428,22.089,27.921,32.101,38.598,42.301,47.341,52.245,57.402,62.255,67.537,72.334,77.480,82.247,87.576,92.275,97.592,102.377,107.707,112.380,117.386,122.137,127.126,132.128,137.114
elapsed,0.000,5.566,10.227,16.059,20.239,26.736,30.439,35.479,40.383,45.540,50.393,55.675,60.472,65.618,70.385,75.714,80.413,85.730,90.515,95.845,100.518,105.524,110.275,115.264,120.266,125.252
bitrate,2000,1401,1401,800,800,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,7.221,32.464,33.067,32.49,32.805,29.036,30.151,29.856,29.741,30.086,30.229,31.475,31.443,32.424,32.604,32.588,32.735,32.889,33.239,33.62,30.136,30.277,30.582,31.461,31.347,31.256
GMSD,0,0,0.92402,0,0.98539,0,0.93623,0,0.95452,0,0.91913,0,0.92240,0,0.91291,0,0.79173,0,0.88746,0,0.85807,0,0.85818,0,0.87646,0
bitrateSwitch,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),7765,12543,3067,2149,1471,1373,1927,1000,765,601,947,866,1010,1033,1035,986,814,985,889,957,659,1006,984,1052,896,954

IP,10.0.0.32
Attribute,HIGH
initTime,2023-04-12 23:44:49.080959
endTime,2023-04-12 23:47:10.793144
liveTime(sec),141.712185
startupDelay,273
Total stalling Event,0
player width,1280
player height,720
time,13.368,18.438,23.877,28.796,35.052,39.558,43.918,48.798,54.183,58.836,64.012,68.833,74.122,79.121,84.559,89.198,94.329,99.297,104.471,109.251,114.416,119.192,124.125,129.190,134.136,139.193
elapsed,0.000,5.070,10.509,15.428,21.684,26.190,30.550,35.430,40.815,45.468,50.644,55.465,60.754,65.753,71.191,75.830,80.961,85.929,91.103,95.883,101.048,105.824,110.757,115.822,120.768,125.825
bitrate,2000,1401,1401,800,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,5.434,30.042,29.579,30.321,29.746,29.863,30.353,27.162,30.455,31.665,30.91,30.952,31.409,31.798,32.17,33.308,32.211,31.342,32.547,31.728,31.986,32.285,32.636,32.595,30.098,30.386
GMSD,0,0,0.78584,0,0.85501,0,0.96093,0,0.93576,0,0.89355,0,0.90245,0,0.88057,0,0.86724,0,0.92906,0,0.82336,0,0.86686,0,0.91187,0
bitrateSwitch,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),7765,12543,3067,2149,1471,1983,1724,853,691,708,950,904,940,1126,1078,808,950,911,973,955,1052,879,1127,903,629,944

IP,10.0.0.24
Attribute,HIGH
initTime,2023-04-12 23:44:49.226049
endTime,2023-04-12 23:47:10.793147
liveTime(sec),141.567098
startupDelay,291
Total stalling Event,0
player width,1280
player height,720
time,13.454,18.540,24.233,28.935,35.135,39.606,43.997,48.873,54.196,58.846,64.163,68.968,74.006,78.841,84.154,88.915,94.207,98.888,104.181,108.852,114.143,118.732,123.733,128.735,133.711,138.703
elapsed,0.000,5.086,10.779,15.481,21.681,26.152,30.543,35.419,40.742,45.392,50.709,55.514,60.552,65.387,70.700,75.461,80.753,85.434,90.727,95.398,100.689,105.278,110.279,115.281,120.257,125.249
bitrate,2000,1401,800,800,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,5.738,30.599,30.778,30.172,30.109,30.753,31.593,32.474,32.03,31.48,31.902,32.711,30.019,29.658,29.331,30.636,29.916,31.206,30.952,31.041,30.999,31.845,32.567,32.578,33.126,29.222
GMSD,0,0,0.80936,0,0.76781,0,0.95189,0,0.94580,0,0.88964,0,0.90734,0,0.83057,0,0.86434,0,0.88716,0,0.94220,0,0.84361,0,0.89297,0
bitrateSwitch,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),7765,12068,2612,2148,1471,1983,1417,853,691,708,950,904,678,1033,1035,986,814,985,889,957,1065,943,1095,913,935,600

IP,10.0.0.1
Attribute,HIGH
initTime,2023-04-12 23:44:49.414901
endTime,2023-04-12 23:47:10.793149
liveTime(sec),141.378248
startupDelay,1355
Total stalling Event,0
player width,1280
player height,720
time,13.005,18.093,23.560,28.625,33.827,39.035,43.359,48.494,53.541,58.428,63.366,68.484,73.527,78.414,83.712,88.612,93.516,98.471,103.518,108.591,113.493,118.330,123.283,128.373,133.274,138.293
elapsed,0.000,5.088,10.555,15.620,20.822,26.030,30.354,35.489,40.536,45.423,50.361,55.479,60.522,65.409,70.707,75.607,80.511,85.466,90.513,95.586,100.488,105.325,110.278,115.368,120.269,125.288
bitrate,2000,1401,1401,800,800,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,6.2,31.398,32.703,32.623,30.089,33.248,33.223,33.134,30.619,29.825,30.269,30.434,30.664,30.707,30.612,30.987,30.852,31.62,29.401,29.051,33.116,30.134,28.794,29.494,31.227,31.498
GMSD,0,0,0.89789,0,0.91745,0,0.90449,0,0.91974,0,0.94913,0,0.91276,0,0.79032,0,0.86117,0,0.89443,0,0.82171,0,0.86264,0,0.85604,0
bitrateSwitch,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throughput (Kbps),7765,12543,3067,2149,1276,2178,1724,853,505,601,947,866,1010,1033,1035,986,814,985,889,709,1313,600,1439,598,896,954

IP,10.0.0.2
Attribute,HIGH
initTime,2023-04-12 23:44:50.146481
endTime,2023-04-12 23:47:10.793151
liveTime(sec),140.64667
startupDelay,355
Total stalling Event,0
player width,1280
player height,720
time,14.369,19.467,25.299,29.868,36.467,39.956,44.968,49.766,55.118,59.957,65.214,69.709,74.890,79.741,85.066,89.711,94.996,99.668,105.107,109.777,115.456,119.633,124.636,129.661,134.618,139.679
elapsed,0.000,5.098,10.930,15.499,22.098,25.587,30.599,35.397,40.749,45.588,50.845,55.340,60.521,65.372,70.697,75.342,80.627,85.299,90.738,95.408,101.087,105.264,110.267,115.292,120.249,125.310
